taq,cycles,sample_name,mean_error,sd_error,chimera_prevalence,seq_error_prevalence
ACC,20x,DNA1,0.02308299,0.06474220873829553,0.05,0.19
ACC,20x,DNA2,0.0215764,0.06291401849309497,0.07,0.12
ACC,20x,DNA3,0.00690921,0.034176689394462355,0.02,0.04
ACC,20x,DNA4,0.01411067,0.051065345735557495,0.06,0.09
ACC,25x,DNA1,0,0,0,0
ACC,25x,DNA2,0,0,0,0
ACC,25x,DNA3,1.5810000000000002e-4,0.0015810000000000002,0,0.01
ACC,25x,DNA4,0,0,0,0
ACC,30x,DNA1,0.00249013,0.010429676107636423,0.05,0.06
ACC,30x,DNA10,0.00296442,0.02087249825821025,0.02,0.02
ACC,30x,DNA2,1.1858e-4,0.0011858,0,0.01
ACC,30x,DNA3,0.01145606,0.04696054663608591,0.04,0.06
ACC,30x,DNA4,0.0033596784,0.022375829588044363,0.02,0.04
ACC,30x,DNA5,0,0,0,0
ACC,30x,DNA6,0.0035573099999999997,0.02508330108714126,0.01,0.02
ACC,30x,DNA7,0.044345064000000003,0.07708610482042375,0.2,0.26
ACC,30x,DNA8,0.00320158,0.022525713743186918,0.02,0.02
ACC,30x,DNA9,0.007509877,0.03647116480232229,0.04,0.05
ACC,30x,NA,0.0397744299,0.07236415234690674,1.16,1.56
ACC,35x,DNA1,2.7668e-4,0.0019666806705716106,0.01,0.02
ACC,35x,DNA2,2.37154e-4,0.0016684411662798823,0.01,0.02
ACC,35x,DNA3,2.37154e-4,0.0016684411662798823,0.01,0.02
ACC,35x,DNA4,2.7668e-4,0.0019666806705716106,0.02,0.02
ACC,35x,NA,0.0106324357,0.03849298996539729,0.07,0.09
K,20x,DNA1,0.0183004,0.05814134658004933,0.08,0.14
K,20x,DNA2,0.04742394,0.07985465938751071,0.19,0.27
K,20x,DNA3,0.04481154,0.08186989298146397,0.17,0.24
K,20x,DNA4,0.02706935,0.06584501307614324,0.09,0.15
K,25x,DNA1,0.00596838,0.03482439145045532,0.02,0.03
K,25x,DNA2,0.01837943,0.05650807745304644,0.1,0.1
K,25x,DNA3,0.00992095,0.04449001305806243,0.05,0.05
K,25x,DNA4,0.00213439,0.0213439,0.01,0.01
K,30x,DNA1,0.01102767,0.044549554023786624,0.06,0.06
K,30x,DNA10,0.00229249,0.0229249,0.03,0.01
K,30x,DNA2,0.007470347,0.03688587534739999,0.03,0.05
K,30x,DNA3,0.016996057,0.054564917714198226,0.05,0.1
K,30x,DNA4,0.00660503,0.033419785469348436,0.04,0.04
K,30x,DNA5,0.016292567,0.052330626832286384,0.08,0.1
K,30x,DNA6,0.004822127,0.03254803916976779,0.01,0.04
K,30x,DNA7,0.00181818,0.0181818,0,0.01
K,30x,DNA8,0.00363637,0.02425937859074696,0.02,0.03
K,30x,DNA9,0.00296442,0.020947965885763496,0.01,0.02
K,35x,DNA1,0.010711449999999999,0.042811778692264754,0.03,0.06
K,35x,DNA2,0.020869553,0.05722873629206712,0.08,0.13
K,35x,DNA3,0.0087747,0.03873760975519081,0.04,0.05
K,35x,DNA4,0.00513834,0.029495509128199787,0.03,0.03
K,35x,NA,0.096925516,0.08921198634139425,0.36,0.83
PHU,20x,DNA1,0.00664031,0.03778192608644931,0.02,0.04
PHU,20x,DNA2,0.00545454,0.03214900358083914,0.02,0.03
PHU,20x,DNA3,0,0,0,0
PHU,20x,DNA4,0.00347826,0.02452845352556821,0,0.02
PHU,25x,DNA1,0,0,0,0
PHU,25x,DNA2,0,0,0,0
PHU,25x,DNA3,0,0,0,0
PHU,25x,DNA4,0,0,0,0
PHU,30x,DNA1,0,0,0.02,0
PHU,30x,DNA2,7.905000000000001e-5,7.905000000000001e-4,0.01,0.01
PHU,30x,DNA3,0.0020158100000000003,0.0201581,0.02,0.01
PHU,30x,DNA4,3.95257e-5,3.95257e-4,0.02,0.01
PHU,30x,NA,0.045645323,0.08037923218137409,0.18,0.27
PHU,35x,DNA1,0.0017391300000000002,0.017391300000000002,0.03,0.01
PHU,35x,DNA2,1.97628e-4,0.00197628,0.03,0.01
PHU,35x,DNA3,7.90514e-5,7.90514e-4,0.03,0.01
PHU,35x,DNA4,0,0,0.03,0
PHU,35x,NA,0.06023543,0.08997787089497634,0.25,0.32
PL,15x,DNA1,3.9529999999999996e-5,3.9529999999999996e-4,0,0.01
PL,15x,DNA2,0.00612648,0.035139601808532525,0.01,0.04
PL,15x,DNA3,0.00418972,0.02990629636792327,0,0.02
PL,15x,DNA4,0.00825076,0.04114937675684981,0.03,0.04
PL,20x,DNA1,0,0,0,0
PL,20x,DNA2,0,0,0,0
PL,20x,DNA3,0,0,0,0
PL,20x,DNA4,0,0,0,0
PL,20x,NA,0.05969128,0.09542352539203339,0.18,0.33
PL,25x,DNA1,0,0,0,0
PL,25x,DNA2,0,0,0,0
PL,25x,DNA3,0,0,0,0
PL,25x,DNA4,0,0,0,0
PL,25x,NA,0.07939438,0.1011421358716654,0.29,0.44
PL,30x,DNA1,2.371544e-4,0.001760488349275848,0.05,0.02
PL,30x,DNA10,0.00039525680000000003,0.002604929050013028,0.08,0.03
PL,30x,DNA2,5.928884e-4,0.00410436546040519,0.06,0.04
PL,30x,DNA3,2.37154e-4,0.0016684411662798823,0.05,0.02
PL,30x,DNA4,2.7668e-4,0.0019666806705716106,0.05,0.02
PL,30x,DNA5,1.18577e-4,0.00118577,0.05,0.01
PL,30x,DNA6,2.371544e-4,0.001760488349275848,0.06,0.02
PL,30x,DNA7,4.3478200000000004e-4,0.00307167726736131,0.06,0.02
PL,30x,DNA8,0.002924895,0.02458844348901327,0.03,0.05
PL,30x,DNA9,1.581027e-4,0.001246118063217316,0.06,0.02
PL,30x,NA,0.0424506157,0.07686856368980954,0.24,0.25
PL,35x,DNA1,8.295724999999999e-4,0.0033360373732077915,0.1,0.07
PL,35x,DNA2,0.001383399,0.005036599294387157,0.09,0.08
PL,35x,DNA3,0.0017391346999999998,0.00820526668648671,0.09,0.07
PL,35x,DNA4,0.0011462448,0.0042151365911902395,0.12,0.09
PL,35x,NA,0.09596845999999999,0.08473422424589688,0.22,0.59
Q5,15x,DNA4,0.05407115,0.08230206863305625,0.23,0.31
Q5,20x,DNA1,0.00177866,0.0177866,0.01,0.01
Q5,20x,DNA2,0.0023320199999999998,0.0233202,0.01,0.01
Q5,20x,DNA3,0.0018181800000000002,0.013754408427831275,0.01,0.02
Q5,20x,DNA4,0,0,0,0
Q5,20x,NA,0.11610049,0.08454880824521874,0.48,0.69
Q5,25x,DNA1,0,0,0,0
Q5,25x,DNA2,0,0,0.01,0
Q5,25x,DNA3,0,0,0,0
Q5,25x,DNA4,0,0,0,0
Q5,25x,NA,0.13029926,0.07779796147320482,0.61,0.8
Q5,30x,DNA1,0,0,0.02,0
Q5,30x,DNA10,0.0023320199999999998,0.0233202,0.02,0.01
Q5,30x,DNA2,0,0,0.02,0
Q5,30x,DNA3,0,0,0.01,0
Q5,30x,DNA4,0,0,0.02,0
Q5,30x,DNA5,0,0,0.02,0
Q5,30x,DNA6,3.95257e-5,3.95257e-4,0.03,0.01
Q5,30x,DNA7,0,0,0.01,0
Q5,30x,DNA8,0.00332016,0.023385211578260307,0.02,0.02
Q5,30x,DNA9,0.001699607,0.01584275549407047,0.02,0.02
Q5,30x,NA,0.1351055127,0.07777710040074368,0.63,0.8
Q5,35x,DNA1,1.18577e-4,0.00118577,0.03,0.01
Q5,35x,DNA2,1.9762700000000002e-4,0.0014184513933597593,0.01,0.02
Q5,35x,DNA3,0.0019762869999999997,0.01672694138802776,0.03,0.03
Q5,35x,DNA4,0.00220581,0.019363465658574865,0.03,0.03
Q5,35x,NA,0.1466107698,0.08636061185348144,0.55,0.81
