taq,cycles,sample_name,mean_error,sd_error,chimera_prevalence
ACC,20x,DNA1,0.02110672,0.06343541077284831,0.1
ACC,20x,DNA2,0.01745136,0.06074427112141389,0.08
ACC,20x,DNA3,0.0032411000000000002,0.02291803788503719,0
ACC,20x,DNA4,0.00671936,0.03374948807760509,0.02
ACC,25x,DNA1,0,0,0
ACC,25x,DNA2,0,0,0
ACC,25x,DNA3,0,0,0
ACC,25x,DNA4,2.3622e-4,0.0016703276385188627,0
ACC,30x,DNA1,0.00418972,0.023747753965581587,0.04
ACC,30x,DNA10,0.00703464,0.032459168377919394,0.02
ACC,30x,DNA2,0,0,0
ACC,30x,DNA3,0.01114624,0.045800863609877625,0.04
ACC,30x,DNA4,0.005296454,0.035213803576410845,0
ACC,30x,DNA5,0.0050592828,0.034651791954400234,0
ACC,30x,DNA6,0.0031620600000000004,0.021795860652145744,0.02
ACC,30x,DNA7,0.038431548,0.07654686674665062,0.18
ACC,30x,DNA8,0.00980236,0.03919547793458853,0.06
ACC,30x,DNA9,2.37154e-4,0.001676932015855145,0
ACC,30x,NA,0.04047102833333333,0.0721723668644379,1.2
ACC,35x,DNA1,0,0,0.02
ACC,35x,DNA2,5.5336e-4,0.002767376533020074,0.02
ACC,35x,DNA3,1.581028e-4,0.001117955620045805,0.02
ACC,35x,DNA4,2.37154e-4,0.001676932015855145,0
ACC,35x,NA,0.0156522,0.05662863796053465,0.08
K,15x,DNA1,0.07343874,0.09053159154632494,0.38
K,15x,DNA2,0.10630818,0.10763826502702542,0.28
K,15x,DNA3,0.14520206,0.09575626653153073,0.58
K,15x,DNA4,0.09185772,0.09867879217224469,0.32
K,20x,DNA1,0.01826086,0.054942125896630764,0.1
K,20x,DNA2,0.05550564,0.08723227847598991,0.2
K,20x,DNA3,0.03280632,0.07255402513185802,0.12
K,20x,DNA4,0.01761692,0.054344528549795997,0.06
K,20x,NA,0.09795378,0.10203123478107384,0.48
K,25x,DNA1,0.0033992,0.024035973706093124,0
K,25x,DNA2,0.019683779999999998,0.06112079057357134,0.04
K,25x,DNA3,0.0180378,0.05568850550616531,0.04
K,25x,DNA4,0.007430839999999999,0.0367731212083289,0.04
K,25x,NA,0.11065762,0.09861469640917149,0.42
K,30x,DNA1,0.007826099999999999,0.0388954980387663,0.02
K,30x,DNA10,0,0,0
K,30x,DNA2,0.00640316,0.03171005623815478,0.04
K,30x,DNA3,0.013131002,0.04360627431413264,0.06
K,30x,DNA4,0.0081423,0.040736598374339565,0.04
K,30x,DNA5,0.0033992,0.024035973706093124,0
K,30x,DNA6,0,0,0
K,30x,DNA7,0.00822134,0.041622520787655035,0.02
K,30x,DNA8,0.00671936,0.03275227887055638,0.04
K,30x,DNA9,2.37154e-4,0.001676932015855145,0
