Df,Sum.Sq,Mean.Sq,F.value,pvalue,bh,cycle,sub_sample_level
4,3.6582335583016543,0.9145583895754136,1.2456925684547548,0.352682083820609,0.352682083820609,20x,1000
4,6.901341104510696,1.725335276127674,2.844378434138821,0.061416391648850197,0.12283278329770039,25x,1000
3,4.672733680954097,1.5575778936513656,2.5508742155628608,0.10462670129323716,0.13950226839098287,30x,1000
4,13.014232036948282,3.2535580092370706,16.34533250489929,2.4171558307867144e-5,9.668623323146858e-5,35x,1000
4,5.153350992217989,1.2883377480544973,4.5650714861035135,0.12129652380549506,0.12129652380549506,20x,5000
4,8.114112184094232,2.028528046023558,4.982172630537574,0.013373181760181036,0.017830909013574713,25x,5000
3,10.358317092074746,3.452772364024915,25.238289421348796,1.8063399426980382e-5,3.6126798853960764e-5,30x,5000
4,14.378728387218962,3.5946820968047404,81.00410242468735,1.6120936309713152e-9,6.448374523885261e-9,35x,5000
2,2.8525632536659584,1.4262816268329792,3.7290464107668297,0.15363959153996617,0.15363959153996617,20x,10000
4,10.386128037470368,2.596532009367592,11.9203941734992,3.8281951838414925e-4,5.104260245121989e-4,25x,10000
3,11.224559040562426,3.741519680187475,57.900263863820506,2.0753102732870458e-7,4.1506205465740916e-7,30x,10000
4,13.247274605378268,3.311818651344567,57.19701072276834,4.0053743047463064e-8,1.6021497218985226e-7,35x,10000
2,0.2661974701841658,0.1330987350920829,0.097372603646723,0.9112675099386114,0.9112675099386114,20x,15000
4,8.694665573400563,2.173666393350141,7.233861159232451,0.004148182398236786,0.005530909864315714,25x,15000
3,10.3975150947188,3.4658383649062667,25.953480274172815,1.5650067278289813e-5,3.1300134556579625e-5,30x,15000
4,12.235672493706307,3.0589181234265768,48.025247264899924,2.7457295175750904e-7,1.0982918070300362e-6,35x,15000
1,1,1,NA,NA,NA,20x,20000
4,9.836377140250448,2.459094285062612,12.50219603374864,4.4567927141569205e-4,4.4567927141569205e-4,25x,20000
3,10.654145251321939,3.551381750440646,31.66506716058842,5.548770524994919e-6,8.32315578749238e-6,30x,20000
3,11.612353959012834,3.870784653004278,119.82430084353317,3.2861070015721815e-9,9.858321004716545e-9,35x,20000
