Group,numOTUs,cycles,taq,sample_type,sample_name
20x_PHU_PMM_FS_DA10001,158,20x,PHU,FS,DA10001
20x_PHU_PMM_FS_DA10040,203,20x,PHU,FS,DA10040
20x_PL_PMM_FS_DA10001,169,20x,PL,FS,DA10001
20x_PL_PMM_FS_DA10040,197,20x,PL,FS,DA10040
20x_Q5_PMM_FS_DA10001,151,20x,Q5,FS,DA10001
20x_Q5_PMM_FS_DA10016,140,20x,Q5,FS,DA10016
20x_Q5_PMM_FS_DA10040,190,20x,Q5,FS,DA10040
25x_ACC_PMM_FS_DA10001,148,25x,ACC,FS,DA10001
25x_ACC_PMM_FS_DA10016,153,25x,ACC,FS,DA10016
25x_ACC_PMM_FS_DA10040,213,25x,ACC,FS,DA10040
25x_K_PMM_FS_DA10001,178,25x,K,FS,DA10001
25x_K_PMM_FS_DA10040,224,25x,K,FS,DA10040
25x_PHU_PMM_FS_DA10001,175,25x,PHU,FS,DA10001
25x_PHU_PMM_FS_DA10016,150,25x,PHU,FS,DA10016
25x_PHU_PMM_FS_DA10029,143,25x,PHU,FS,DA10029
25x_PHU_PMM_FS_DA10040,207,25x,PHU,FS,DA10040
25x_PL_PMM_FS_DA10001,185,25x,PL,FS,DA10001
25x_PL_PMM_FS_DA10016,166,25x,PL,FS,DA10016
25x_PL_PMM_FS_DA10029,158,25x,PL,FS,DA10029
25x_PL_PMM_FS_DA10040,241,25x,PL,FS,DA10040
25x_Q5_PMM_FS_DA10001,177,25x,Q5,FS,DA10001
25x_Q5_PMM_FS_DA10016,164,25x,Q5,FS,DA10016
25x_Q5_PMM_FS_DA10029,158,25x,Q5,FS,DA10029
25x_Q5_PMM_FS_DA10040,224,25x,Q5,FS,DA10040
30x_ACC_PMM_FS_DA10001,213,30x,ACC,FS,DA10001
30x_ACC_PMM_FS_DA10002,164,30x,ACC,FS,DA10002
30x_ACC_PMM_FS_DA10016,184,30x,ACC,FS,DA10016
30x_ACC_PMM_FS_DA10017,153,30x,ACC,FS,DA10017
30x_ACC_PMM_FS_DA10029,140,30x,ACC,FS,DA10029
30x_ACC_PMM_FS_DA10040,255,30x,ACC,FS,DA10040
30x_ACC_PMM_FS_DA10055,278,30x,ACC,FS,DA10055
30x_ACC_PMM_FS_DA10069,300,30x,ACC,FS,DA10069
30x_ACC_PMM_FS_DA10088,137,30x,ACC,FS,DA10088
30x_ACC_PMM_FS_DA10103,212,30x,ACC,FS,DA10103
30x_PHU_PMM_FS_DA10001,305,30x,PHU,FS,DA10001
