Group,numOTUs,cycles,taq,sample_type,sample_name,scaled_numOTU
20x_PHU_PMM_FS_DA10001,158,20x,PHU,FS,DA10001,-0.14694367167413006
20x_PHU_PMM_FS_DA10040,203,20x,PHU,FS,DA10040,0.9733994871992654
20x_PL_PMM_FS_DA10001,169,20x,PL,FS,DA10001,1.0653416196374343
20x_PL_PMM_FS_DA10040,197,20x,PL,FS,DA10040,0.05123155195785745
20x_Q5_PMM_FS_DA10001,151,20x,Q5,FS,DA10001,-0.9183979479633074
20x_Q5_PMM_FS_DA10016,140,20x,Q5,FS,DA10016,NaN
20x_Q5_PMM_FS_DA10040,190,20x,Q5,FS,DA10040,-1.0246310391571185
25x_ACC_PMM_FS_DA10001,148,25x,ACC,FS,DA10001,-1.7253071327767209
25x_ACC_PMM_FS_DA10016,153,25x,ACC,FS,DA10016,-0.6618757211128653
25x_ACC_PMM_FS_DA10040,213,25x,ACC,FS,DA10040,-0.6775246973146085
25x_K_PMM_FS_DA10001,178,25x,K,FS,DA10001,0.3787259559753782
25x_K_PMM_FS_DA10040,224,25x,K,FS,DA10040,0.16938117432865105
25x_PHU_PMM_FS_DA10001,175,25x,PHU,FS,DA10001,0.1683226471001683
25x_PHU_PMM_FS_DA10016,150,25x,PHU,FS,DA10016,-1.0400904188916456
25x_PHU_PMM_FS_DA10029,143,25x,PHU,FS,DA10029,-1.1547005383792515
25x_PHU_PMM_FS_DA10040,207,25x,PHU,FS,DA10040,-1.1394733545745683
25x_PL_PMM_FS_DA10001,185,25x,PL,FS,DA10001,0.8696670100175347
25x_PL_PMM_FS_DA10016,166,25x,PL,FS,DA10016,0.9770546359285155
25x_PL_PMM_FS_DA10029,158,25x,PL,FS,DA10029,0.5773502691896257
25x_PL_PMM_FS_DA10040,241,25x,PL,FS,DA10040,1.4782357032318705
25x_Q5_PMM_FS_DA10001,177,25x,Q5,FS,DA10001,0.30859151968364157
25x_Q5_PMM_FS_DA10016,164,25x,Q5,FS,DA10016,0.7249115040759954
25x_Q5_PMM_FS_DA10029,158,25x,Q5,FS,DA10029,0.5773502691896257
25x_Q5_PMM_FS_DA10040,224,25x,Q5,FS,DA10040,0.16938117432865105
30x_ACC_PMM_FS_DA10001,213,30x,ACC,FS,DA10001,-0.9269962426559802
30x_ACC_PMM_FS_DA10016,184,30x,ACC,FS,DA10016,-1.1640268109779257
30x_ACC_PMM_FS_DA10029,140,30x,ACC,FS,DA10029,-1.3429996532648578
30x_ACC_PMM_FS_DA10040,255,30x,ACC,FS,DA10040,-0.9302524110073054
30x_PHU_PMM_FS_DA10001,305,30x,PHU,FS,DA10001,1.2597641246350502
30x_PHU_PMM_FS_DA10016,244,30x,PHU,FS,DA10016,0.9685413923404114
30x_PHU_PMM_FS_DA10029,200,30x,PHU,FS,DA10029,0.6223656929763974
30x_PHU_PMM_FS_DA10040,365,30x,PHU,FS,DA10040,1.2469340828395796
30x_PL_PMM_FS_DA10001,266,30x,PL,FS,DA10001,0.33276788197906987
30x_PL_PMM_FS_DA10016,236,30x,PL,FS,DA10016,0.6841989652312997
30x_PL_PMM_FS_DA10029,208,30x,PL,FS,DA10029,0.8844144058085649
30x_PL_PMM_FS_DA10040,320,30x,PL,FS,DA10040,0.3562668808113085
30x_Q5_PMM_FS_DA10001,224,30x,Q5,FS,DA10001,-0.6655357639581397
30x_Q5_PMM_FS_DA10016,203,30x,Q5,FS,DA10016,-0.4887135465937856
30x_Q5_PMM_FS_DA10029,176,30x,Q5,FS,DA10029,-0.1637804455201046
30x_Q5_PMM_FS_DA10040,268,30x,Q5,FS,DA10040,-0.6729485526435827
35x_ACC_PMM_FS_DA10001,219,35x,ACC,FS,DA10001,-0.6527945371343798
35x_ACC_PMM_FS_DA10016,199,35x,ACC,FS,DA10016,-1.000820727755637
35x_ACC_PMM_FS_DA10029,165,35x,ACC,FS,DA10029,-1.1850873348703665
35x_ACC_PMM_FS_DA10040,271,35x,ACC,FS,DA10040,-0.6952001066200187
35x_K_PMM_FS_DA10001,197,35x,K,FS,DA10001,-0.8318653577946835
35x_K_PMM_FS_DA10040,241,35x,K,FS,DA10040,-1.0055572970753843
35x_PHU_PMM_FS_DA10001,238,35x,PHU,FS,DA10001,-0.4981424647459357
35x_PHU_PMM_FS_DA10016,220,35x,PHU,FS,DA10016,-0.6847720768854358
35x_PHU_PMM_FS_DA10029,231,35x,PHU,FS,DA10029,-0.09497215575616177
35x_PHU_PMM_FS_DA10040,313,35x,PHU,FS,DA10040,-0.26070003998250696
35x_PL_PMM_FS_DA10001,492,35x,PL,FS,DA10001,1.5693115556048436
35x_PL_PMM_FS_DA10016,337,35x,PL,FS,DA10016,1.0760704065342563
35x_PL_PMM_FS_DA10029,313,35x,PL,FS,DA10029,1.2594133698099712
35x_PL_PMM_FS_DA10040,482,35x,PL,FS,DA10040,1.4876454662493857
35x_Q5_PMM_FS_DA10001,350,35x,Q5,FS,DA10001,0.4134908040701559
35x_Q5_PMM_FS_DA10016,306,35x,Q5,FS,DA10016,0.6095223981068165
35x_Q5_PMM_FS_DA10029,238,35x,Q5,FS,DA10029,0.020646120816556906
35x_Q5_PMM_FS_DA10040,384,35x,Q5,FS,DA10040,0.4738119774285249
