cycles,taq,statistic,p.value,parameter,method
thirty,ACC,28.346590909090907,1.9025523654716894e-4,7,Kruskal-Wallis rank sum test
thirty_five,ACC,30.073863636363626,9.204251022320185e-5,7,Kruskal-Wallis rank sum test
twenty,ACC,26.776214482126484,3.6564086218090586e-4,7,Kruskal-Wallis rank sum test
twenty_five,ACC,30.301136363636374,8.360990511871157e-5,7,Kruskal-Wallis rank sum test
thirty,K,70.89407166047427,9.74418114636282e-13,7,Kruskal-Wallis rank sum test
thirty_five,K,29.125,1.3728629112605696e-4,7,Kruskal-Wallis rank sum test
twenty,K,24.73322639780019,8.459943519919332e-4,7,Kruskal-Wallis rank sum test
twenty_five,K,29.107954545454533,1.3827305365201462e-4,7,Kruskal-Wallis rank sum test
thirty,PHU,27.982954545454547,2.2146181024357089e-4,7,Kruskal-Wallis rank sum test
thirty_five,PHU,29.77272727272728,1.0451992143321623e-4,7,Kruskal-Wallis rank sum test
twenty,PHU,29.33522727272728,1.2567232300566436e-4,7,Kruskal-Wallis rank sum test
twenty_five,PHU,30.323863636363626,8.280980122706591e-5,7,Kruskal-Wallis rank sum test
thirty,PL,73.54074074074072,2.8360137594741807e-13,7,Kruskal-Wallis rank sum test
thirty_five,PL,29.22727272727272,1.3150982122089888e-4,7,Kruskal-Wallis rank sum test
twenty,PL,29.511363636363626,1.1669175587600488e-4,7,Kruskal-Wallis rank sum test
twenty_five,PL,30.386363636363626,8.064827034738069e-5,7,Kruskal-Wallis rank sum test
thirty,Q5,75.11814814814812,1.3570431939585662e-13,7,Kruskal-Wallis rank sum test
thirty_five,Q5,27.715909090909093,2.4753718452050303e-4,7,Kruskal-Wallis rank sum test
twenty,Q5,28.477272727272734,1.801332727382788e-4,7,Kruskal-Wallis rank sum test
twenty_five,Q5,30.02272727272728,9.405253720199411e-5,7,Kruskal-Wallis rank sum test
