statistic,parameter,pvalue,bh,cycle,sub_sample_level
7.631428571428565,2,0.02202197884956286,0.05505494712390715,15x,50
8.166817155756203,4,0.085655095711199,0.085655095711199,20x,50
9.711426806670802,4,0.045579575497355786,0.05697446937169473,25x,50
20.415010636789116,4,4.134716335052539e-4,0.0020673581675262694,30x,50
9.77385826771653,4,0.044414262146022794,0.05697446937169473,35x,50
2,1,0.1572992070502845,0.1572992070502845,15x,100
8.579334677419368,4,0.07251861584910951,0.12086435974851586,20x,100
9.034682080924851,4,0.060238415931480514,0.12086435974851586,25x,100
14.72161575949273,4,0.005314837609048614,0.02657418804524307,30x,100
7.368129330254048,4,0.11766679571945832,0.1470834946493229,35x,100
9.30175438596491,2,0.009553218238024708,0.019106436476049416,20x,500
11.792609351432876,4,0.018961987497765034,0.025282649997020044,25x,500
18.721762749445674,4,8.912870050277648e-4,0.0035651480201110593,30x,500
9.988043478260863,4,0.04062957036257877,0.04062957036257877,35x,500
7.848484848484851,2,0.019757098702433966,0.03951419740486793,20x,1000
9.470562390158175,4,0.05035565187901573,0.06714086917202097,25x,1000
23.740840336134426,4,9.001911692603399e-5,3.6007646770413597e-4,30x,1000
6.564935064935071,4,0.16074465565619542,0.16074465565619542,35x,1000
5.845588235294116,3,0.11936918896691245,0.11936918896691245,25x,5000
14.312307692307698,3,0.002509447112137677,0.00752834133641303,30x,5000
12.52745098039216,3,0.00577838751551408,0.00866758127327112,35x,5000
9.419117647058826,3,0.024207564350127643,0.03631134652519147,25x,10000
5.874222222222215,3,0.1178925399966821,0.1178925399966821,30x,10000
11.713235294117645,3,0.008432922709771803,0.02529876812931541,35x,10000
