otu,genus,median_mda,iqr25,iqr75,min_mda,max_mda,other_model
Otu0005,Anaerostipes,5.827170072677846,5.3862971050664425,6.337908453071309,4.317243127779448,7.924634883057625,neither
Otu0092,Ruminococcaceae_unclassified,4.987192523644593,4.50333018936516,5.547208663798736,3.107501157993014,6.916959412627027,neither
Otu0043,Clostridium_XI,4.9391461995514145,4.507851281200937,5.709821308523068,3.114396901602039,7.604605407845758,neither
Otu0007,Escherichia/Shigella,4.862586597129524,4.399715127376523,5.768011573374445,2.89066204312652,8.13507476103116,neither
Otu0026,Roseburia,4.816018442559597,4.398828071658569,5.213684903590139,1.9375189383309526,6.234556724244514,neither
Otu0082,Bacillus,4.810623358400992,4.379647387131546,5.900215854019676,2.7512913587266175,8.617266338352257,neither
Otu0002,Bifidobacterium,4.8056900277205985,4.333321212870684,5.202935804537094,2.981631957542367,6.5393324526255,neither
Otu0058,Bifidobacterium,4.770163626864862,4.314348212430728,5.774645576821948,3.219238560535345,8.171837061205908,neither
Otu0008,Faecalibacterium,4.711649851888229,4.172833483041334,5.696062021505453,2.5705042756266554,7.967837020764716,neither
Otu0144,Bacillales_unclassified,4.6941465911541655,4.2117651325763426,5.577921118144978,2.990204071034583,8.295737685137922,neither
Otu0126,Clostridiales_unclassified,4.682142548210345,4.202201709251797,5.516671122940448,2.8060267184142766,7.528750146591473,neither
Otu0059,Parabacteroides,4.6786157685419845,4.233988971944325,5.380451689506174,3.1025954697779716,7.7638714423825,neither
Otu0009,Ruminococcaceae_unclassified,4.676824356057487,4.195181836769355,5.164382802220672,2.847403262414812,6.740580501815864,neither
Otu0714,Clostridium_XlVb,4.639791980879208,4.248206652201683,5.706146287250241,2.51380120778095,8.293212901223413,neither
Otu0039,Phascolarctobacterium,4.606665358282482,4.111670652030783,5.6211761703510765,2.9910789255635155,8.429549315425115,neither
Otu0027,Ruminococcaceae_unclassified,4.587642945497725,3.966343307022916,5.403321542720109,2.249779905855667,7.432445331817044,neither
Otu0013,Faecalibacterium,4.525950241084741,4.020758180020897,5.530725511034017,2.4481926659119577,7.85362767688305,neither
Otu0114,Barnesiella,4.504985587512704,3.954049898880482,5.360419836724924,2.453307088546006,7.650737450321874,neither
Otu0050,Faecalibacterium,4.482026907874042,4.048991307404714,5.431249420628668,2.6861826480714748,7.886299012027833,neither
Otu0034,Clostridium_sensu_stricto,4.456352578761119,3.9508715703701403,5.04452829865093,2.6006596988954476,6.550090001244376,neither
Otu0098,Ruminococcaceae_unclassified,4.301793821496366,3.590765577169046,4.82851361078186,1.9570128825390503,5.85259876664839,neither
Otu0006,Roseburia,4.17319060285949,3.2215967271638584,4.694013795594232,0.9262385931781849,5.897999923145598,cycles
Otu0023,Bacteroides,4.1332533800525155,2.884161358053783,4.991688578113271,0.49965960774512125,6.133949115544312,neither
Otu0289,Bacteroides,4.077914615753706,3.6988070862364437,5.119133168415074,2.4019502621329076,7.101833642935993,neither
Otu0030,Enterococcus,4.077153546378122,3.0308255414842407,4.742633319554781,0.2464266334949627,6.146434996214369,neither
Otu0041,Bacteroides,3.8957573508603947,2.6390401922533173,4.574090680205476,0.06231098787749644,6.101787959153014,cycles
Otu0037,Clostridiales_unclassified,3.794569493755569,3.33404604091185,4.218909023008899,1.7489929536404043,5.368287391294845,neither
Otu0022,Ruminococcus2,3.7037308424630533,3.07756247190791,4.666344247049784,0.85093200893106,6.505994752924871,neither
Otu0014,Anaerostipes,3.68924238476661,3.1373825257794614,4.234408705553555,0.6022257178883534,5.788320234344887,neither
Otu0003,Blautia,3.652887307098982,3.025015301930938,4.393696775702328,1.280703850539605,5.88741973894189,neither
Otu0018,Ruminococcus,3.318670926117865,2.858742098988181,3.9771841486560886,0.748100381629903,5.503061424143346,polymerase
Otu0086,Bacillales_unclassified,3.2835470314636908,2.850450967165515,4.0507260393724724,0.9316065768244602,5.612493687706751,neither
